ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,000012,DECODED.TXT,0.40000,0.13043,0.19672,1

ROUGE-1+StopWordRemoval,000012,DECODED.TXT,0.40000,0.11765,0.18182,1

ROUGE-2+StopWordRemoval,000012,DECODED.TXT,0.15385,0.04000,0.06349,1

ROUGE-SU4+StopWordRemoval,000012,DECODED.TXT,0.16364,0.03673,0.06000,1

ROUGE-L+StopWordRemoval,000011,DECODED.TXT,0.46667,0.26923,0.34146,1

ROUGE-1+StopWordRemoval,000011,DECODED.TXT,0.53333,0.28571,0.37209,1

ROUGE-2+StopWordRemoval,000011,DECODED.TXT,0.23077,0.11538,0.15385,1

ROUGE-SU4+StopWordRemoval,000011,DECODED.TXT,0.21818,0.10000,0.13714,1

ROUGE-L+StopWordRemoval,000007,DECODED.TXT,0.50000,0.36667,0.42308,1

ROUGE-1+StopWordRemoval,000007,DECODED.TXT,0.54545,0.38710,0.45283,1

ROUGE-2+StopWordRemoval,000007,DECODED.TXT,0.21053,0.14286,0.17021,1

ROUGE-SU4+StopWordRemoval,000007,DECODED.TXT,0.27500,0.17600,0.21463,1

ROUGE-L+StopWordRemoval,000009,DECODED.TXT,0.38095,0.53333,0.44444,1

ROUGE-1+StopWordRemoval,000009,DECODED.TXT,0.38095,0.40000,0.39024,1

ROUGE-2+StopWordRemoval,000009,DECODED.TXT,0.27778,0.29412,0.28571,1

ROUGE-SU4+StopWordRemoval,000009,DECODED.TXT,0.28000,0.30000,0.28966,1

ROUGE-L+StopWordRemoval,000008,DECODED.TXT,0.33333,0.25000,0.28571,1

ROUGE-1+StopWordRemoval,000008,DECODED.TXT,0.41667,0.29412,0.34483,1

ROUGE-2+StopWordRemoval,000008,DECODED.TXT,0.20000,0.13333,0.16000,1

ROUGE-SU4+StopWordRemoval,000008,DECODED.TXT,0.20000,0.12308,0.15238,1

ROUGE-L+StopWordRemoval,000010,DECODED.TXT,0.30769,0.38095,0.34043,1

ROUGE-1+StopWordRemoval,000010,DECODED.TXT,0.34615,0.40909,0.37500,1

ROUGE-2+StopWordRemoval,000010,DECODED.TXT,0.13043,0.15000,0.13953,1

ROUGE-SU4+StopWordRemoval,000010,DECODED.TXT,0.21000,0.23333,0.22105,1

